Box_conveyor;Part_conveyor;Grab;C_plus;Auto;Manual;Emergency_stop;Reset_button;Start;Stop;Part_at_place;Box_at_place;Detected;C_limit;Temps_occurrence
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58819772478
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58819772479
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58819772480
false;true;true;false;true;false;true;false;false;true;false;false;true;true;58819772481
false;false;false;false;true;false;true;false;false;true;false;false;true;true;58819772482
false;false;false;false;true;false;true;false;false;true;false;false;true;true;58819778041
false;false;false;false;true;false;true;false;false;true;false;false;true;true;58820702954
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58820706941
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58820706942
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58820751542
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58820751543
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58820752166
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58820752167
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58820752168
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58820764095
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58820795076
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58820795077
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58820795078
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58820795079
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58820795080
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58820795081
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58820795082
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58821707678
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58821741657
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58821779633
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58821779634
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58821779635
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58821787567
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58821787568
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58821787569
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58821787570
